author,title,pub_date,item_uri,acq_date
"Mathiessen, F. O.",The Achievement of T. S. Eliot: An Essay in the Nature of Poetry,1935,https://shakespeareandco.princeton.edu/books/matthiessen-achievement-s-eliot/,1935-11
"Sayers, Dorothy",Gaudy NIght,1935,https://shakespeareandco.princeton.edu/books/sayers-gaudy-night/,1935-11
"Strong, Anna Louisse",I Change Worlds: The Remaking of an American,1935,https://shakespeareandco.princeton.edu/books/strong-change-worlds-remaking/,1935-11
"Ward, Richard Heron",The Powys Brothers,1935,https://shakespeareandco.princeton.edu/books/ward-powys-brothers-study/,1935-11
"Sholokov, Makhail",And Quiet Flows the Don,1934,,1935-11
"Sholokov, Makhail",Virgin Soil Upturned,1935,https://shakespeareandco.princeton.edu/books/sholokhov-virgin-soil-upturned/,1935-11
"Fisher, H. A. L. ",A History of Europe,1935,https://shakespeareandco.princeton.edu/books/history-europe/,1935-11
"Wilhelm, Gale",We Too Are Drifting,1935,https://shakespeareandco.princeton.edu/books/wilhelm-drifting/,1935-11
"Cowley, Malcolm",Exile's Return: A Narrative of Ideas,1934,https://shakespeareandco.princeton.edu/books/cowley-exiles-return-narrative/,1935-11
,Proletarian Literature in the United States: An Anthology,1935,https://shakespeareandco.princeton.edu/books/calmer-proletarian-literature-united/,1935-11
"Zweig, Stephan",Mary: Queen of Scotland and the Isles,1935,https://shakespeareandco.princeton.edu/books/zweig-mary-queen-scotland/,1935-11
"Quennell, Peter",Byron: The Years of Fame,1935,https://shakespeareandco.princeton.edu/books/quennell-byron-years-fame/,1935-11
"Landau, Rom ","God is My Adventure: A Book of Modern Mystics, Masters and Teachers",1935,https://shakespeareandco.princeton.edu/books/landau-god-adventure-book/,1935-11
"Hurston, Zora Neale",Mules and Men,1935,https://shakespeareandco.princeton.edu/books/hurston-mules-men/,1935-11
"Yeats, William Butler",A Full Moon in March,1935,https://shakespeareandco.princeton.edu/books/yeats-full-moon-march/,1935-11
"Chesterton, G. K.",The Well and the Shallows,1935,https://shakespeareandco.princeton.edu/books/chesterton-well-shallows/,1935-11
"O'Hara, John",Butterfield 8,1935,https://shakespeareandco.princeton.edu/books/ohara-butterfield-8/,1935-11
"Briffault, Robert",Europa: The Days of Ignorance,1935,https://shakespeareandco.princeton.edu/books/briffault-europa-days-ignorance/,1935-11
"Bailey, H. C.",The Sullen Sky Mystery,1935,https://shakespeareandco.princeton.edu/books/bailey-sullen-sky-mystery/,1935-11
"Seabrook, William",Asylum,1935,https://shakespeareandco.princeton.edu/books/seabrook-asylum/,1935-12
"McArther, Alexander",No Mean City: A Story of the Glasgow Slums,1935,https://shakespeareandco.princeton.edu/books/mcarthur-mean-city-story/,1935-12
"Hoult, Norah",Holy Ireland,1935,https://shakespeareandco.princeton.edu/books/hoult-holy-ireland/,1935-12
"Dunsany, Lord",Up in the Hills,1935,https://shakespeareandco.princeton.edu/books/dunsany-hills/,1935-12
